title,arousal,character,characters_involved,dominance,episode,episode_title,full_dialogue,given_circumstances,importance,internal_thoughts,motivation,pleasure,reflection,scene_arc,scene_id,scene_number,season
Dwight tells Phyllis she might want to die and instructs Kelly to remove her stockings | authority,0.9,Angela,"Angela, Dwight, Kelly, Phyllis",0.7,4,The Fire,"Dwight: This is not a test! Can you leave?!
Phyllis: Oh, you say that every time.
Dwight: DO YOU WANT TO DIE?
Phyllis: Oh, boy...
Dwight: Do you want to die? OUT!!
Angela: Alright, let's go, let's go.
Dwight: STANLEY! Have you ever seen a burn victim?
Angela: Come on, you're safety partners!
Dwight: Move to the exits!
Angela: You're safety partners!
Dwight: We've got smoke! We've got smoke! Smoke! Gah! [Spots Kelly] Oh, Kelly! You're okay! I've got you!
Kelly: I'm okay!
Dwight: Cover your nose and mouth. Breathe through your nose.
Kelly: Let go of me!
Dwight: Breathe through your nose. Remove your stockings. Okay? They'll melt right into your flesh! Stay below the smoke line. Let's go! Clear out, stat! STAT MEANS NOW!",Evacuation is underway. Dwight is dealing with reluctant evacuees and Kelly in the smoke.,5,Safety partners. Single file. Do not panic. Come on let's go. We are doing this the right way.,To maintain orderly evacuation procedure while Dwight escalates.,-0.3,The evacuation completed. Dwight's stocking removal advice was unusual but within the scope of emergency response.,"Dwight escalates the evacuation — Stanley gets the burn victim warning, Kelly gets the stocking removal instruction.",S2E04-SC13,13,2
Angela would take DaVinci Code only to burn it; Dwight hollows out a Physician's Desk Reference and packs survival supplies | character,0.3,Angela,"Angela, Dwight, Jim, Phyllis, Stanley",0.7,4,The Fire,"Jim: Okay, so... three books on a desert island? Angela.
Angela: The Bible.
Stanley: That's one book. You've got two others.
Angela: A Purpose Driven Life.
Jim: Nice. Third book?
Angela: No.
Jim: Okay. Phyllis.
Phyllis: Um, The DaVinci Code.
Angela: The DaVinci Code!
Jim: Nice.
Angela: I would take The DaVinci Code... so I could burn The DaVinci Code.
Dwight: Okay. Great, that's going to keep you warm for like 7 seconds. Question: is there fire wood on the island?
Jim: I guess.
Dwight: Then I would bring an axe, no books.
Jim: Uh, it has to be a book, Dwight.
Dwight: Fine. Physician's Desk Reference.
Jim: Nice. Smart.
Dwight: ...hollowed out, inside: waterproof matches, iodine tablets, beet seeds, protein bars, NASA blanket, and, in case I get bored, Harry Potter and Sorcerer's Stone. No, Harry Potter and the Prisoner of Azkaban. Question: did my shoes come off in the plane crash?","The Desert Island books game is underway. Angela, Phyllis, Dwight, Stanley, and Jim are playing.",5,Bible. Purpose Driven Life. No third. Phyllis said DaVinci Code. I would take it to burn it. That's the answer.,To give defensible book selections and register her objection to DaVinci Code.,0.2,I would take DaVinci Code in order to burn it. Seven seconds of warmth. Still worth it.,The Desert Island books game: Angela takes the Bible and A Purpose Driven Life but refuses a third. She would take The DaVinci Code only to burn it. Dwight proposes a hollowed-out Physician's Desk Reference containing survival gear.,S2E04-SC23,23,2
Michael would have sex with Ryan because he'll own a business; Dwight goes back into the burning building | loyalty,0.8,Angela,"Angela, Dwight, Jim, Kevin, Michael, Roy, Ryan, Stanley",0.3,4,The Fire,"Stanley: Come on people, you know the rules of the game now.
Michael: Oh, hey. Game, what game are we playing here?
Stanley: Okay. It's called Who Would You Do?
Michael: Oh, I play this at home all the time while I'm falling asleep. What, uh... Where are we? Mmm.. Roy? Roy? Who would you do, Roy?
Roy: Uh... Oh, I got it! Uh, what's the name of that, uh, tight ass, uh, Christian, uh, chick. The, uh, the blond?
Angela: My name is Angela.
Roy: Hey, Angela! Roy. Nice to meet you.
Michael: Aaaall right. Who's next, who's next, who's next? Jim? You're next. Who would you do?
Jim: Um... Kevin, hands down. Yeah. He's really got that teddy bear thing going on, and afterwards, we could just watch bowling.
Michael: Well, I would definitely have sex with Ryan. 'Cause he is going to own his own business.
Roy: You're all gay.
Michael: Who's, uh... Who's next? Who we got? Whooo...
Ryan: [answers phone] Hey, no, I can talk, I can talk, I can talk... this is great timing.
Michael: Wish I had my cell phone, but I left it inside. So...
Dwight: Would that make you happy?
Michael: What's that?
Dwight: If you had your cell phone, it would make you happy?
Michael: Yeah.
Dwight: I'm on it.
Michael: Dwight. Hey!
Angela: You can't go in yet!
Michael: Dwight, don't! He is an idiot. The man is an idiot, ladies and gentlemen.
Kevin: What if he dies in the fire? And that's the last thing you ever said to him.
Michael: I didn't say it to him. I said it about him.",The full group is playing Who Would You Do. Michael arrives and joins. Dwight goes back inside to find Michael's cell phone.,3,You can't go in yet. He went in anyway.,To prevent Dwight from re-entering the building.,-0.4,He went in anyway.,Michael joins the Who Would You Do game. Roy names Angela. Jim chooses Kevin for the bowling. Michael would have sex with Ryan because he'll own his own business. Dwight goes inside to get Michael's phone. Michael calls him an idiot.,S2E04-SC38,38,2
Angela tells camera everyone got out fine and this is why you practice | character,0.6,Angela,Angela,0.8,4,The Fire,"Angela: Yes, there is a real fire, but it's okay. Everyone got out fine. This is why you practice these things.",Angela is speaking to the documentary camera about the real fire.,4,There is a real fire. Everyone got out fine. This is why you practice.,To frame the real fire as confirmation of drill value.,0.4,This is why you practice. The drills prepared us. The real fire validated the drills.,Angela tells camera there was a real fire but everyone got out fine and this is why you practice.,S2E04-SC62,62,2
"Michael tells Oscar he's showing his colors; asks Angela to find $50,000 in the budget | harm",0.8,Angela,"Angela, Kevin, Michael, Oscar",-0.2,5,Halloween,"Michael: Hey.
Oscar: Michael.
Michael: You guys excited about the party?
Angela: Yeah.
Michael: It's gonna be fun.
Kevin: Yeah.
Angela: Yes.
Michael: [looks to Oscar] Oh, boy... look at you! Haha. Showing your colors. Bet you wish you wore a dress every day.
Oscar: What are you implying?
Michael: All good. Happy Halloween. What happened to all those spooky decorations that we had? The cobwebs and such?
Angela: You know, I don't know. We put them all up last night.
Michael: Well, you know what? Go buy some more. I'll approve the overages. Sound good?
Michael: Good. Oh, yeah, also about budget stuff. Um, I'm going to need you to find, like a, a full employee salary, plus benefits, like fifty grand. I'm going to need you to find 50 grand in the numbers.
Angela: But we don't keep two sets of books.
Michael: Well, that's not what I'm saying. Just, you know, find it. Pretend that your jobs depend on it.",Michael approaches the accounting group. Oscar is dressed in a sombrero. Michael makes a comment about him showing his colors.,5,He asked about decorations. We put them up last night. He wants more. Fine. Then fifty grand. Two sets of books — we don't keep those. He said just find it. Pretend your jobs depend on it.,"To manage the party logistics and process the $50,000 request.",-0.7,Find fifty grand. Pretend our jobs depend on it. He said pretend but I don't think it's pretend.,"Michael makes a comment about Oscar in his sombrero showing his colors. Oscar asks what he's implying. Michael pivots to party conversation and then casually asks Angela to find $50,000 in the budget, pretending their jobs depend on it.",S2E05-SC5,5,2
Angela tells Oscar and Kevin one accounting department has three people doing two people's work; they realize it's them | consequence,0.8,Angela,"Angela, Kevin, Oscar",0.6,5,Halloween,"Angela: Well, I looked through all the budgets. And there is one department...
Oscar: Yes?
Angela: ... that has three people...
Oscar: Yeah?
Angela: ... doing the work that could be done by two.
Oscar: This is great. [Angela shakes her head] Oh.
Kevin: Yeah. Oh.",Angela has completed the budget analysis Michael requested. She has found the department that could operate with one fewer person.,6,One department. Three people. Work that could be done by two. I shook my head when Oscar said this is great.,To deliver the budget finding to Oscar and Kevin.,-0.7,I shook my head. They understood. They said oh.,Angela tells Oscar and Kevin that one accounting department has three people doing two people's work. They realize she's talking about them.,S2E05-SC11,11,2
Angela accuses Pam of sabotaging the party by bringing brownies when Angela made cookies; same category | rivalry,0.7,Angela,"Angela, Pam",0.7,5,Halloween,"Angela: Those aren't chips and dip.
Pam: No, I made brownies.
Angela: Uh!
Pam: ... What?
Angela: I'm just trying to figure out why you're sabotaging things.
Pam: I made brownies.
Angela: And I made cookies. Same category.",Pam has brought brownies to the Halloween party. Angela objects.,4,Those aren't chips and dip. She made brownies. I made cookies. Same category. She is sabotaging things.,To defend the party committee's vision against Pam's brownie sabotage.,-0.6,Same category. Brownies and cookies are both dessert and there is already dessert in the form of my cookies.,Angela accuses Pam of sabotaging the party with brownies because Angela made cookies. Same category.,S2E05-SC15,15,2
Michael offers a Chili's gift certificate; Devon tears it up; Devon names who can meet him at Poor Richard's and tells the rest to go to hell | consequence,0.7,Angela,"Angela, Devon, Michael",-0.1,5,Halloween,"Michael: Devon, wait, please.
Devon: What!
Michael: Look, look. In addition to severance, and everything, I want to give you this gift certificate to Chili's. From me. Okay? No hard feelings.
Devon: [takes the gift certificate and tears it up] Kevin, Jim, Pam, Kelly, Toby, Oscar, Meredith, Phyllis, Stanley, or the temp. If any of you wanna meet me for a drink, I'm going to be at Poor Richard's. And the rest of you can go to hell!
Angela: [watching nearly everyone leave] What about the Halloween party?",Devon is given a Chili's gift certificate. He tears it up and invites everyone but Michael and the remaining office members to Poor Richard's.,4,Nearly everyone is leaving. What about the Halloween party.,To watch the exodus and ask about the party.,-0.6,Everyone left. What about the party.,Michael offers a Chili's gift certificate. Devon tears it up. Devon invites the named individuals to Poor Richard's and tells everyone else to go to hell. Nearly everyone leaves. Angela asks about the party.,S2E05-SC37,37,2
Dwight calls Angela pussy while she's in a cat costume; Creed praises Michael's decision-making; Michael says he should have fired them instead | consequence,0.6,Angela,"Angela, Creed, Dwight, Michael",-0.1,5,Halloween,"Dwight: You're supposed to be a cat?
Creed: You know, guys, Michael has really incredible decision-making abilities. Michael's really incredible at making decisions.
Michael: [camera pans over, Michael is sitting in a chair] Yeah, blah, blah, blah.
Dwight: Pussy. Here, pussy. Pussy. Pussy. Here, pussy, pussy. Meow.
Michael: You people are revolting. By far, the least popular people here. I should have fired you. Who knew Devon was so popular and had so many friends. So well-loved.",The aftermath of Devon's departure. Dwight teases Angela about her cat costume. Creed praises Michael's decision-making.,2,Yes.,To be a cat.,-0.4,Yes I am a cat.,Post-firing. Dwight calls Angela pussy in cat-calling fashion. Creed praises Michael's decision-making. Michael says he should have fired them instead.,S2E05-SC51,51,2
Michael says he signed the expense reports in theory; puts Dwight in a headlock | avoidance,0.6,Angela,"Angela, Dwight, Jim, Michael",0.5,6,The Fight,"Michael: And after that, nobody ever messed with the 'Damn Rascals' ever again.
Jim: Sounds tough. When you're a Jet, [starts snapping] you're a Jet all the way, right?
Michael: You were a Jet?
Angela: Have you signed the expense reports yet?
Michael: Yes, in theory, I have. I just need to cross some t's and dot some i's. Alright, I'm going to be in my office if anybody needs me. [Puts Dwight in a headlock] Hoo-hah. Oh, wow, sleeper hold. That's my rebuttal. Shhh. Hoo. You are the weakest link.
Dwight: Argggg!",Michael is telling the Damn Rascals story. Angela asks about the expense reports. Michael puts Dwight in a headlock.,4,Have you signed the expense reports yet? He said in theory.,To check on the expense reports.,-0.3,In theory. He has not signed them.,Michael wraps up the Damn Rascals story. Jim makes a West Side Story reference. Angela asks about expense reports. Michael says he's signed them in theory and puts Dwight in a headlock.,S2E06-SC14,14,2
Michael asks everyone to gangbang the paperwork and go home; pulls Dwight aside | consequence,0.6,Angela,"Angela, Dwight, Michael, Pam, Stanley, Toby",0.3,6,The Fight,"Michael: Dwight?
Angela: Michael, did you finish yet?
Michael: This close. Dwight, may I speak with you for a minute?
Dwight: I'm busy.
Michael: Well, [points at himself] busier. Making the time.
Stanley: Michael, can't your conversation wait till Monday.
Toby: We want to go home.
Michael: Well, you don't even have anyone to go home to, Toby.
Pam: The shipping place closes in a half hour.
Michael: I know, but I've been carrying the load on my back all day, and if everybody would just chip in a little bit, it'd might help me out. What do you say? Let's gangbang this thing and go home. Good? Dwight.",It is end of day. Michael still hasn't finished signing. Everyone wants to go home.,3,"Michael, did you finish yet?",To ask about the paperwork.,-0.4,This close means no.,End of day. Everyone wants to go home. Michael hasn't finished signing. He says he's been carrying the load all day and calls for everyone to gangbang the thing and go home.,S2E06-SC30,30,2
Angela says it's illegal; Stanley says he doesn't care | observation,0.6,Angela,"Angela, Stanley",0.7,6,The Fight,"Angela: This is illegal.
Stanley: I don't care.",Angela and Stanley are watching what Michael is doing with everyone still at work.,3,This is illegal.,To identify the legal problem with the current situation.,-0.4,This is illegal.,Angela says it's illegal. Stanley says he doesn't care.,S2E06-SC31,31,2
Angela's chocolate-vanilla swirl is missing; Kevin smiles at camera when denied | observation,0.6,Angela,"Angela, Kevin, Oscar",0.4,6,The Fight,"Angela: Do you think he's signed them yet?
Oscar: Signed what?
Angela: Forget it. Is that chocolate-vanilla swirl?
Oscar: Just chocolate. Angela? For the last time, I did not eat your chocolate-vanilla swirl.
Kevin: Don't look at me. [smiles at camera]
Angela: I don't know why I write my name on things.","Angela, Oscar, and Kevin are at the office. Angela's chocolate-vanilla swirl yogurt has gone missing.",4,Did he sign yet? Forget it. My chocolate-vanilla swirl is missing. Oscar denied it. I don't know why I write my name on things.,To find out if the paperwork was signed and address the missing yogurt.,-0.6,Kevin smiled at camera when I asked. I don't know why I write my name on things.,Angela's chocolate-vanilla swirl is missing. Oscar denies it. Kevin smiles at camera.,S2E06-SC38,38,2
"The Threat Level: Midnight finale: kick-and-chop confusion, Dwigt, Agent Chang dies close to retirement, Michael Scarn jumps without a parachute; Angela says it's a terrible movie | performance",0.3,Angela,"Angela, Dwight, Jim, Oscar, Pam, Phyllis, Ryan",0.6,7,The Client,"Jim: [reading screenplay] Bullets are flying everywhere. Ooo, wait, last page, big finish. Here we go. Agent Michael Scarn kicks open the plane door with a karate chop.
Dwight: A kick and a chop are two totally different things.
Jim: Well, it's just a movie, Dwigt.
Dwight: It doesn't make any sense.
Oscar: Yeah, now it doesn't make any sense.
Ryan: Don't jump Agent Scarn! There are no parachutes!
Jim: Just then, Agent Chang gets a bullet in the head.
Pam: Oh! So close to retirement.
Jim: Another bullet heads towards Agent Michael Scarn, but he jumps out of the plane without a parachute.
Ryan: Is that it?
Jim: Yup, I guess so.
Phyllis: Does he die?
Pam: I sincerely doubt it.
Angela: I have to say, I think this is a terrible movie.",The Threat Level: Midnight reading reaches its climax. Agent Chang dies. Michael Scarn jumps without a parachute.,4,"I have to say, I think this is a terrible movie.",To deliver the final verdict.,-0.5,It is a terrible movie.,"The finale: kick-and-chop confusion, Dwigt, Agent Chang dies close to retirement, Scarn jumps without a parachute. Angela says it's a terrible movie.",S2E07-SC51,51,2
Angela tells camera she enjoys being judged and holds up well to severe scrutiny | character,0.3,Angela,Angela,0.8,8,Performance Review,Angela: I actually look forward to performance reviews. I did the youth beauty pageant circuit. And I enjoyed that quite a bit. I really enjoy being judged. I believe I hold up very well to even severe scrutiny.,Angela is speaking to the documentary camera about performance reviews.,4,I look forward to performance reviews. I did the youth beauty pageant circuit. I enjoy being judged. I hold up well to severe scrutiny.,To explain her relationship with being evaluated.,0.5,I hold up well to severe scrutiny. That's the key point. I have evidence for this claim.,Angela tells camera she looks forward to performance reviews and holds up well to severe scrutiny.,S2E08-SC13,13,2
"Kevin, Oscar, and Angela discuss the Michael-Jan rumors; Angela says office romances are nobody's business | observation",0.4,Angela,"Angela, Kevin, Oscar",0.6,8,Performance Review,"Kevin: I heard they made out and had sex.
Oscar: No, they just made out. That's it.
Kevin: Well, I heard they made out
Angela: Don't talk about it. Office romances are nobody's business but the people involved.
Kevin: Romances?","Kevin, Oscar, and Angela are discussing the Michael-Jan situation.",4,Don't talk about it. Office romances are nobody's business but the people involved.,To shut down the conversation.,-0.4,Nobody's business. Kevin said romances — he was flagging the plural.,"Kevin, Oscar, and Angela discuss the Michael-Jan rumors. Angela says office romances are nobody's business.",S2E08-SC16,16,2
"The suggestion box meeting: Y2K, Tom the suicide, B.O., coffee breath, gum, and Dwight reading don't sleep with your boss out loud | consequence",0.6,Angela,"Angela, Creed, Dwight, Jan, Kelly, Michael, Phyllis, Toby",0.5,8,Performance Review,"Michael: Why are we here? Because I value your opinions. Now, I know a lot of don't think that I read your suggestions, but I do. I just sift through them every week and I really look and scrutinize to see what you guys are writing. Um, so, let's, uh, just read some of these suckers. Alright. Number one: 'What should we do to prepare for Y2K?'
Dwight: What should we do to prepare for Y2K?
Kelly: I thought you read these every week.
Michael: Well, obviously this one got stuck in the box. [to Jan] That happens occasionally.
Dwight: It happens occasionally.
Michael: And, um, one down. Next suggestion: 'we need better outreach for employees fighting depression'. Ok, alright, enough with the jokes. Nobody in here is suffering from depression.
Jan: That sounds serious, Michael.
Michael: Oh, ok, well, yeah, who wrote it?
Dwight: Tom?
Michael: Tom. Then it is a joke because there is nobody in here named Tom.
Phyllis: Tom? He worked in accounting up until about a year ago. [blank stares] Tom? [acts like she's shooting herself in the head] Pow.
Michael: Oh, that guy? That guy was weird. Alright, next suggestion.
Dwight: Next suggestion.
Michael: Arrr, dooby dooby do. 'You need to do something about your B.O.'
Dwight: You need to do something about your B.O.
Michael: Ok, I don't know who this suggestion is meant for, but it's more of a personal suggestion and it's not an office suggestion. Far be it for me to use this as a platform to embarrass anybody.
Toby: Aren't the suggestions meant for you?
Michael: Well, Toby, if by me you are inferring that I have B.O., then I would say that is a very poor choice of words.
Creed: Uh, Michael, he wasn't inferring, he was implying. You were inferring.
Michael: Was I, Creed?! Ok, well, you know what? I am implying is that when we're on an elevator together, I should maybe take the stairs, because talk about stank. Not that I would ever say something like that in public, and I never have, and I never will. I just think it's something that we should all be aware of. Ok? Now that we've learned this, let's continue. 'You need to do something about your coffee breath'-
Dwight: You need-
Michael: Ok.
Dwight: To do something about-
Michael: Shut up, shut up, shut up, Dwight, OK. I don't think you people are grasping the concept of the suggestion box.
Angela: Sometimes you talk to us real close.
Michael: Yeah, is that hard for you? Alright, well-
Angela: Well, when you have coffee breath-
Michael: I'll work on that-
Angela: It's hard.
Michael: Let's keep going. Keep it going. Yep. What do we have here? We have somebody's piece of gum. Somebody put a piece of gum in there. This is not a, a garbage can, this is the future of our company. This is not a place for gum. I don't wanna have to read these tomorrow.
Dwight: Yeah, who wants to come in on a Saturday?
Michael: Yeah, what? Uh, alright, next suggestion.
Michael: Don't sl-', ok, that's blank [Dwight picks up note] Don't, just put it-
Dwight: Don't sleep with your boss'? Do you think this is referring to you boning Jan?",The suggestion box meeting is underway with Jan present. Michael reads the suggestions.,3,Sometimes you talk to us real close. When you have coffee breath it's hard.,To provide the coffee breath context.,-0.2,He talks close. The coffee breath is delivered at proximity.,"The suggestion box meeting: Y2K, depression outreach (Tom who shot himself), B.O., coffee breath, gum, and finally don't sleep with your boss. Dwight reads the last one out loud.",S2E08-SC25,25,2
Pam and Jim spiral over Dwight warning Angela to delete sensitive emails | suspicion,0.9,Angela,"Angela, Dwight, Jim, Pam",0.2,9,Email Surveillance,"Dwight: Oh hey, just so ya know, if you have a lot of sensitive e-mails, they need to be deleted immediately.
Angela: I know.
Dwight: Good. [Pam overhears]
Pam: [whispers to Jim] Hey.  Something just happened.  Dwight just told Angela that she has to deleted all of her sensitive e-mails immediately.
Jim: What?
Pam: I know!
Jim: Hmm...
Pam: Do you think that they're like-
Jim: No.
Pam: No, right, no, no.
Jim: [humming]
Pam: Uhhh, ew, ew, ew... .Maybe?",The office is buzzing about email surveillance. Pam overhears Dwight privately telling Angela to delete sensitive emails immediately.,6,"I do not need commentary; I need compliance and discretion. The less visible I am, the better.",To conceal anything that could expose her private life.,-0.8,"Panic is ugly, but exposure would be worse. I need tighter control.","Pam whispers the discovery to Jim. Both of them recoil at the possibility that Dwight and Angela might be involved, deny it, then circle back toward maybe.",S2E09-SC9,9,2
Pam fishes for whether Angela is bringing someone to Jim's party | investigation,0.6,Angela,"Angela, Pam",0.6,9,Email Surveillance,"Pam: Hey, Angela-
Angela: Hi.
Pam: How's it going?
Angela: It's ok.
Pam: Listen, are you bringing anyone to Jim's party tonight?
Angela: No.  Are we supposed to?
Pam: No. I mean, I don't know, I don't think so.
Angela: Hmm... [Pam reaches towards vending machine] Excuse me.
Pam: Oh.",Pam suspects Angela and Dwight may have a secret relationship. She tries to gather information at work before the party that night.,5,"She is circling something, and I do not owe her access. Minimal answers. Keep moving.",To end a prying conversation without exposing anything.,-0.5,Privacy is easiest to protect when I refuse the premise entirely.,"Pam casually asks Angela whether she is bringing anyone to Jim's party. Angela says no and brushes past her, leaving Pam with no clean answer.",S2E09-SC14,14,2
Michael quizzes everyone about their evening plans and finds no one available | exclusion,0.5,Angela,"Angela, Dwight, Kevin, Michael, Oscar, Pam",0.7,9,Email Surveillance,"Michael: Hey, Pam.  Do you need me to walk to your vehicular transport?
Pam: No thanks.
Michael: Alright.  Oscar, got big plans tonight with-
Oscar: I'm on a call.
Michael: Kevin, big man, big man, what are you doing tonight?  Where are you off to?
Kevin: My brother is in town and we are going to see the Alaska Film Festival at the Scien-
Michael: Ok, alright.
Kevin: Oh.
Michael: Hey, Angela, rushy, rushy.  Where you rushin' off to?
Angela: I'm just leaving for the day.
Michael: Yeah, well duh.  Where ya headed?
Angela: Charity.  Bake drive.
Michael: Liar!
Angela: No!
Michael: You are a liar.
Angela: No, I'm not.
Michael: Dwight, oh ho, Dwight, Dwight, my loyal compadre.  You and I are hangin' tonight.  The two of us.  We are celebrating our freedom and our manhood.  You know what?  Why don't we watch that show that you've been wanting to watch, that stupid Battleship Galaxy.
Dwight: Battlestar Galatica.
Michael: That's, whatever stupid show you want-
Dwight: I can't-
Michael: To watch tonight
Dwight: Tonight.
Michael: We're watching it.
Dwight: Unfortunately, I've got plans. I have to go to practice.  Soccer practice.
Michael: I didn't know you played soccer, Dwight.
Dwight: Clarinet.
Michael: You, too, Dwight?
Dwight: Have fun tonight!  Whatever it is that you're doing, and I'll see you Monday. [to the camera]  He has no idea!",The workday is ending. Michael is trying to determine who is secretly going to Jim's barbecue and whether anyone will spend time with him instead.,4,He is fishing and I am not participating. Every extra word is risk.,To get out without revealing anything about her real plans.,-0.5,Deflection works best when I sound offended by the question itself.,"Michael asks Pam, Oscar, Kevin, Angela, and Dwight what they are doing that night. Everyone brushes him off or lies. He tries to enlist Dwight for an evening together, but Dwight declines while privately gloating to the camera that Michael has no idea.",S2E09-SC21,21,2
Jim offers Angela food and gets iced out instantly | distance,0.6,Angela,"Angela, Jim",-0.2,9,Email Surveillance,"Jim: Angela, burger? Dog?  Havin' fun?
Angela: I got sap on me.
Jim: Chicken, hot dog, burger.
Angela: I'm a vegetarian.
Jim: There is soda inside.
Angela: Guh.","The barbecue continues, and Jim is circulating among guests as host. Angela remains stiff and uncomfortable in social settings like this.",4,"I am uncomfortable, sticky, and surrounded by casual people who confuse friendliness with access. I would like less of all of this.",To endure the party without inviting more interaction than necessary.,-0.6,Jim treats this like a normal pleasant gathering. It is not normal and it is not pleasant.,"Jim offers Angela burgers, hot dogs, and soda. Angela says she has sap on her and reminds him she is a vegetarian before ending the exchange with visible annoyance.",S2E09-SC28,28,2
Pam asks Phyllis about secret romances and gets mistaken for being with Jim | projection,0.2,Angela,"Angela, Pam, Phyllis",0.4,9,Email Surveillance,"Angela: I think it's alright. Jesus drank wine. [Pam overhears]
Pam: Hey Phyllis, come here for a second.
Phyllis: Sure.
Pam: Have you heard anything about any secret office romances?
Phyllis: You tell me.  Well, you do mean you and Jim right?  Oh God.  I am so sorry, I thought, you guys hang out all the time and you're talking all the time.  I'm sorry!
Pam: That's ok.  It's ok.",Pam is still hunting for evidence about Angela and Dwight at the party. She pulls Phyllis aside for help.,3,"If I say something calm and ordinary, perhaps I remain ordinary too.",To normalize her own behavior without revealing anything deeper.,-0.1,"The less suspicious I sound, the better.","Angela comments that wine is alright because Jesus drank wine. Pam then asks Phyllis whether she has heard about any secret office romances. Phyllis assumes Pam means Pam and Jim, then apologizes when she realizes she misread the question.",S2E09-SC30,30,2
Angela snaps at Oscar for shaking his leg | irritation,0.7,Angela,Angela,0.4,9,Email Surveillance,Angela: [Oscar shakes his leg] You're going to have to stop that. [Oscar moves over] I can still feel it.,"The party continues in a cramped shared space. Angela is already tense, and Oscar's movement pushes her over the edge.",3,"Everything is too close, too loose, too informal. If I can at least stop one annoying motion, maybe I can breathe.",To regain control over a small physical irritation in an already uncomfortable environment.,-0.6,"When I feel trapped, tiny disturbances become enormous.","Angela tells Oscar he has to stop shaking his leg. Oscar moves over, and Angela says she can still feel it.",S2E09-SC39,39,2
Angela silently judges Phyllis's light choice | control,0.4,Angela,"Angela, Phyllis",0.7,10,Christmas Party,"Angela: Is there anything we're missing? Phyllis, you got the lights?
Phyllis: Yes, I got those cute little ones. [Angela looks at her disapprovingly] Do you think I should have gotten the big ones?
Angela: We'll see.",Angela heads the Party Planning Committee and has been managing every detail of the Christmas party. Phyllis is a committee member. Angela has very specific standards for how the party should be executed.,3,The small lights. Of course she got the small lights. I didn't specify because I thought it was obvious. This is why I have to spell everything out. I'm not going to make a scene — I will simply assess and manage. 'We'll see' is the right response.,Every element of this party must be correct. I need to verify that my instructions were followed precisely.,-0.3,I should have specified the lights. Phyllis is not a reliable executor without exhaustive instructions. Noted for next year.,Angela audits the party preparations and interrogates Phyllis about the Christmas lights. Phyllis's choice of small lights draws Angela's visible disapproval. Angela's non-answer leaves Phyllis uncertain and anxious.,S2E10-SC4,4,2
Michael bursts into party prep and doubles every supply on his own dime | performance,0.7,Angela,"Angela, Michael",-0.2,10,Christmas Party,"Michael: [comes into the conference room in a Santa hat and beard] Merry Christmas! Ho, ho, ho, [points to Ryan] pimp. I'm kidding. What do we got, what do we got? How many plates are we getting?
Angela: Fifty.
Michael: Double it. Double everything. Double ice cream. Double napkins. Double it. On me.","Michael has received a $3,000 bonus check and is in a generous, expansive mood. The party planning committee, led by Angela, has been working within the established budget. Michael sweeps in to escalate everything.",4,He just doubled everything. He didn't ask. He walked in here in a costume and started overriding three weeks of planning. 'On me' means nothing if it creates logistical chaos.,I need to maintain control over the party parameters. I have a budget and a plan.,-0.6,This is what happens when you let Michael near something organized. He detonates it.,"Michael arrives in Santa costume and immediately begins doubling every party supply. He overrides Angela's careful planning with theatrical generosity, declaring everything is on him.",S2E10-SC6,6,2
Angela asks for help she resents needing | control,0.4,Angela,Angela,0.5,10,Christmas Party,Angela: [having trouble with a plastic tablecloth as Pam stands idly by] Will you help me?,Angela is setting up the conference room for the Christmas party. Pam is nearby but not actively helping.,1,I am asking Pam for help. I do not enjoy asking for help. She was just standing there. This should not have required a request.,I need this done correctly and I'm being forced to ask for assistance.,-0.4,Fine. It got done. I don't have to like it.,"Angela, struggling alone, directly asks Pam for help with a tablecloth.",S2E10-SC10,10,2
Michael converts Secret Santa to Yankee Swap to chase the iPod | self-deception,0.8,Angela,"Angela, Dwight, Jim, Kevin, Michael, Oscar, Pam",-0.4,10,Christmas Party,"Kevin: Should we just keep opening up the presents?
Dwight: We don't do anything until Michael gives us further instructions.
Michael: I got it! We are going to turn Secret Santa into Yankee Swap.
Jim: What is Yankee Swap?
Michael: One person chooses a gift. The next person can either choose a gift or steal that person's gift. If your gift gets stolen, then you can steal somebody else's gift or choose a new gift.
Jim: I thought that was called Nasty Christmas.
Pam: Yeah, we call it White Elephant.
Michael: Well, I call it fun!
Oscar: Why are we doing this?
Michael: Because it's better. Because it's more special.
Angela: It sounds mean.
Michael: Shut it. No, it's not. Okay, just give it a shot.",Michael has just received the oven mitt and walked out. He has now returned with a new plan. He wants to reorganize the entire gift exchange.,5,He said 'shut it' to me. He is the manager but that was rude. I said it sounds mean because it does sound mean. People chose gifts for specific people. That is now irrelevant.,I want the party to follow the plan. The plan was Secret Santa.,-0.8,He dismantled the party planning committee's work in thirty seconds.,Michael proposes converting Secret Santa into Yankee Swap. Jim and Pam identify it by different names. Oscar questions it. Angela calls it mean. Michael overrides all objections.,S2E10-SC24,24,2
