title,scene_id,season,episode,scene_number,episode_title,character,characters_involved,given_circumstances,full_dialogue,scene_arc,motivation,internal_thoughts,reflection,importance,pleasure,arousal,dominance
Roy misreads Jim and Pam's closeness — Jim explains the alliance — Dwight immediately denies it | betrayal,S1E04-SC47,1,4,47,The Alliance,Jim,"Dwight, Jim, Pam, Roy","Jim is telling Pam about the Stamford spy mission he has convinced Dwight to undertake. Roy overhears and misreads the physical proximity between Jim and Pam. The confrontation forces Jim to explain the alliance to everyone, including Dwight.","Jim: OK, OK. I have something that totally tops the box.
Pam: Oh, tell me, tell me.
Jim: OK. I have just convinced Dwight that he needs to go to Stamford and... [Pam starts laughing]... spy on our other branch. No no no.
Jim: But before he does so, I told him that he should dye his hair to go undercover.
Pam: [laughing] That's perfect!
Jim: If we can get him to drive to Connecticut... and put peroxide in his hair...
Roy: [yelling] What the hell is this? What are you trying to cop a feel or something? Huh Halpert?
Jim: No, no, dude, no.
Pam: Hey, Hey!
Jim: No, dude, no, I was just, listen! Whoa.
Pam: Come on.
Jim: God, I don't even, I don't even know how to explain this. Uh, um... Dwight, uh, asked me to be in an alliance. And then um... um... we were... we've just been messing with him. Uh, because of the whole alliance thing. Um...
Pam: It's just office pranks.
Jim: It's stupid. It's, it's just office pranks.
Roy: [looking at Dwight] An alliance? What the hell is he talking about?
Dwight: I have absolutely no idea.
Roy: Come on.","Jim is telling Pam about the Stamford spy plan when Roy walks in, misreads the scene, and escalates. Jim explains the whole alliance to the room. Dwight immediately denies any knowledge of it. Roy is confused and leaves.",To tell Pam about the Stamford spy plan and then survive Roy's misreading of the scene.,"I'm telling Pam about the Stamford operation — he's going to drive to Connecticut with peroxide in his hair. She's laughing. Roy walks in, misreads it, gets aggressive. I have to explain the alliance to Roy. To Dwight's face. Dwight immediately denies knowing anything about any alliance. He plays it perfectly. I'm left holding the explanation alone.",Dwight denied the alliance immediately and completely. He betrayed the alliance before I even finished explaining it. He's been running a counter-operation this whole time. I've been played. That's actually impressive.,8,-0.5,0.9,0.2
Dwight attempts a cybersecurity audit — Jim correctly guesses both passwords | rivalry,S1E04-SC49,1,4,49,The Alliance,Jim,"Dwight, Jim",Dwight and Jim are at their desks. Dwight is doing a cybersecurity audit.,"Dwight: Good, excellent, and file sharing off and done. Security software, 128-bit encryption, firewalls. Get up, I'll install it on your computer.
Jim: No thanks.
Dwight: Pssh, stupid. Identity theft happens all the time. I can become you like that. [snaps fingers] But no one can become me.
Jim: No one wants to be you, Dwight.
Dwight: Not true. And if they did, they couldn't because I'm password protected.
Jim: Is your password Frodo?
Dwight: No. [typing on keyboard]
Jim: Did you just change it to Gollum?
Dwight: No. [typing on keyboard]",Dwight attempts to do a cybersecurity audit on Jim's computer. Jim declines. They debate whether anyone would want to be Dwight. Jim guesses both passwords correctly.,To decline the security audit and probe Dwight's password choices.,He wants to install security software. I say no thanks. He says no one can become him because he's password protected. Frodo. He types immediately. Gollum. He types again. He didn't confirm either but the typing tells me everything.,He changed both passwords without confirming them. The typing confirms them. I know Dwight's passwords.,5,0.6,0.5,0.8
Dwight throws away Jim's tuna sandwich and cites his own memo — the bobbleheads must bobble | control,S1E04-SC51,1,4,51,The Alliance,Jim,"Dwight, Jim",Jim is at the office refrigerator and discovers his tuna sandwich is missing. Dwight has discarded it.,"Dwight: [throwing away food from the refrigerator, smells the mayonnaise] God. [drinks from the milk carton and puts it back] Mmm.
Jim: [looks in the refrigerator] Hey Dwight, my tuna sandwich isn't in the refrigerator. You wouldn't know anything about that would you?
Dwight: It was rotting.
Jim: It was not rotting.
Dwight: Any employee may dispose a food item...
Jim: Stop. Dwight, stop.
Dwight: ...that risks contaminating the other food item. Read the official kitchen regulations memo.
Jim: Dwight, you wrote that memo. Okay, it's not an official memo.
Dwight: Uh, uh, not my problem. Okay, this is a paper factory not a bacteria factory.
Jim: Dwight, it's not a factory at all. Do you have to do what you are doing? [Dwight is tapping each of the bobble heads on his desk and making them bobble]
Dwight: Uh, if they don't bobble, what's the point?","Jim's tuna sandwich has been thrown away by Dwight, who cites his own self-written kitchen regulations memo. Jim refuses to accept the memo's authority. Dwight is tapping his bobbleheads. Jim asks why. Dwight explains.",To establish that the memo has no authority and that Dwight's sandwich disposal was illegitimate.,He threw away my tuna sandwich and cited his own memo as authority. I tell him he wrote the memo. He says not my problem. He's tapping all his bobbleheads. I ask why. He says if they don't bobble what's the point. That is a complete sentence that explains everything about Dwight.,He threw away my lunch and cited his own rules. The bobblehead answer is the best thing he's said today. The sandwich is gone.,4,0.4,0.6,0.8
Jim leaves Dwight outside in the cold pretending to smoke for the alliance | rivalry,S1E04-SC53,1,4,53,The Alliance,Jim,"Dwight, Jim",Jim and Dwight are outside in the cold. Jim has fed Dwight another round of paranoia and is heading back inside.,"Jim: We need to assume that everyone in the office is forming an alliance and is therefore trying to get us kicked off.
Dwight: God... Damn it! Why us?
Jim: Because we're strong, Dwight. Because we're strong. God, it's freezing, I gotta go in. You stay though for like five minutes.
Dwight: [talking over Jim] Okay.
Jim: You don't want to arouse suspicion.
Dwight: I'll stay for ten.
Jim: Good. I like it. You know what. Pretend to smoke. [Dwight pretends to smoke]","Jim and Dwight are outside in the cold. Jim delivers the final paranoia escalation and goes inside, leaving Dwight to stand alone in the freezing air pretending to smoke.",To leave Dwight outside in the cold pretending to smoke.,"I escalate the paranoia one more time, say I'm going in, tell him to stay five minutes. He says ten. I say good. I tell him to pretend to smoke. He starts pretending. I go inside.",He's outside in the cold pretending to smoke for our alliance. I'm inside where it's warm. Good.,5,0.7,0.6,0.9
Jim reveals to camera that getting Dwight to say immunity might be the greatest day of his life | rivalry,S1E04-SC55,1,4,55,The Alliance,Jim,Jim,"Jim is alone with the documentary camera, explaining the immunity gambit he is engineering.","Jim: Uh, by the way. Have you heard Dwight say the word immunity, yet? Because if I can get Dwight to say the word immunity, it might be the greatest day of my life.","Jim explains the immunity gambit to the camera — if he can get Dwight to say the word 'immunity,' it will be the greatest day of his life.",To share the immunity goal with the camera and establish the stakes of the next operation.,If I can get Dwight to say the word immunity — just the word — it might be the greatest day of my life. That's where the bar is set.,The immunity gambit is the next objective. The greatest day of my life is within reach.,5,0.8,0.6,0.7
Dwight's first scheduling act is to assign Jim to Saturday; Jim names what he's watching | power,S1E05-SC4,1,5,4,Basketball,Jim,"Dwight, Jim, Phyllis",Dwight has been given authority over the weekend work schedule. His first act is to assign Jim to work Saturday.,"Dwight: So we need someone to work this Saturday and I think that, that should be...Jim.
Jim: God, this is so sad. This is the smallest amount of power I've ever seen go to someone's head. Phyllis, can you believe this?
Phyllis: Keep me out of it.",Dwight's first use of scheduling power is to assign Jim to Saturday. Jim names what he's watching — the smallest amount of power going to someone's head. Phyllis declines to participate.,To name what's happening clearly and involve Phyllis as a witness.,This is the smallest amount of power I have ever seen go to someone's head. I said it out loud. Phyllis kept herself out of it. Correct move. I'm going to be dealing with Dwight's scheduling power all day.,Phyllis was smart. I named the phenomenon. Dwight is going to be insufferable today.,5,-0.6,0.7,0.7
"Jim explains the toaster oven backstory — engagement shower, three years, no wedding date | observation",S1E05-SC8,1,5,8,Basketball,Jim,Jim,Jim is speaking to the documentary camera about Pam's broken toaster oven and what the timing of it implies.,"Jim: Pam gets a little down. Her toaster oven broke. Um, which she got at her engagement shower. Um, for a wedding that still has yet to be set... and that was three years ago.","Jim delivers the toaster oven backstory to camera: it was an engagement shower gift, the wedding hasn't been set, that was three years ago.",To give the toaster oven story its full context for the camera.,It was an engagement shower gift. The wedding hasn't been set. That was three years ago. I'm not editorializing. I'm just giving the timeline.,I gave the timeline. The timeline speaks. I didn't add anything.,7,-0.3,0.4,0.5
"Michael picks the team, stumbles on 'Stanley of course,' ignores Phyllis twice, and neutralizes Dwight's threat | authority",S1E05-SC10,1,5,10,Basketball,Jim,"Dwight, Everybody, Jim, Kevin, Michael, Oscar, Phyllis, Ryan, Stanley",Michael is assembling the office team for the basketball game. He is selecting players and assigning roles in front of the assembled staff.,"Michael: Are we ready for the game?
Everybody: [half-heartedly] Yeah.
Michael: I... yeah, yeah. I know, grumble, grumble. But you would follow me to the ends of the earth, grumbling all the way. Like that, uh, dwarf from Lord of the Rings.
Dwight: Gimli.
Michael: Nerd. That is why you're not on the team.
Dwight: Just trying to be helpful.
Michael: Uh, [in a nerdy voice] 'I'll help, Elwyn Dragonslayer, uh, ten points, power sword.'
Jim: That's him.
Michael: OK, so, let's put together a starting line-up, shall we? Stanley of course.
Stanley: I'm sorry?
Michael: Um, what do you play? Center?
Stanley: Why 'of course'?
Michael: Uh...
Stanley: What's that supposed to mean?
Michael: Uh, I don't know. I don't remember saying that.
Jim: Uh, I heard it.
Michael: Well, people hear a lot of things, man. Um... other starters... Me, of course. I heard it that time.
Phyllis: I'd like to play if it's just for fun. I played basketball in school.
Michael: [ignores Phyllis] Um... Yeah. Who else? We have Jim. We have Ryan, the new guy, right? Untested. Willing to prove himself now. A lot of passion, a lot of heart.
Ryan: But, I'm getting paid to skip lunch?
Michael: Yes.
Ryan: OK.
Michael: Yes, this is business. The, uh, business of team building and morale boosting. Uh, who else?
Oscar: I can help out, if you need me.
Michael: I will use your talents come baseball season, my friend. Or if we box.
Kevin: I have a hoop in my driveway.
Michael: No.
Phyllis: I have a sports bra.
Michael: No, no, ridiculous.
Dwight: Michael, look. [Dwight throws paper at the garbage can]
Michael: Close. All right, uh... Me, Stan the man, Jim, Ryan and Dwight.
Dwight: Yes!
Michael: Sorry Phyllis.
Dwight: Can I be team captain?
Michael: No, I'm team captain.
Dwight: Can I be team manager?
Michael: No, I am the team manager. You can be assistant to the team manager.
Dwight: Assistant team manager?
Michael: No.
Dwight: OK, we'll see who's working this weekend then.
Michael: Jim, you're in charge of the vacation schedule now.
Jim: Oh my God.
Michael: Threat neutralized.","Michael assembles the team. He picks Stanley 'of course,' gets challenged on the racial implication, and retreats. He ignores Phyllis twice, adds Dwight reluctantly after Dwight tries to bribe him with scheduling power, and neutralizes the threat by giving Jim the vacation calendar.",To confirm Stanley heard correctly and observe the team selection process.,I heard 'of course.' I said so. Michael couldn't back it up. Then I got picked for the team based on general competence. Then I got the vacation calendar as retaliation for Dwight's scheduling threat. I said 'oh my God' and meant it.,I'm on the team and I now own the vacation calendar. Michael called that threat neutralized. He's not wrong.,4,0.4,0.7,0.6
Michael asks Pam to cheerlead in a halter top; Jim volunteers; the gay disclaimer follows | boundary violation,S1E05-SC11,1,5,11,Basketball,Jim,"Jim, Michael, Pam, Phyllis",Michael is at Pam's desk in pre-game energy mode. He has thrown a piece of paper at her head and is now proposing she cheerlead.,"Michael: [hits Pam in the head with a piece of paper] Off the backboard!
Pam: Please don't throw garbage at me.
Michael: Oh, Pam with a zinger. Hey, Pam, how would you like to be our cheerleader today? You know, some, ah, pigtails? A little, ah, halter top, you could tie that up. And you know, something a little, just, youthful, for a change. Just this once?
Pam: I don't think so Michael. Besides, I can't cheer against my fiance.
Jim: I'll do it. Wear a little flouncey skirt if you want, and...
Michael: Yeah, I bet you would. Just try not to be too gay on the court. And by gay I mean, um, you know, not in a homosexual way at all. I mean the uh, you know, like the bad-at-sports way. I think that goes without saying.
Pam: Maybe Angela would cheerlead.
Michael: Oh, yeah right.
Phyllis: I'll do it.
Michael: Oh, yuck, that's worse than you playing. ... 'Cause we need you as an alternate in case somebody gets hurt. That's where we need you. Blessed be those who sit and wait. You made it, suit up, you're on the team! All right, cool! Very good.","Michael asks Pam to cheerlead in pigtails and a halter top. Pam declines. Jim offers. Michael makes a gay joke with a disclaimer. Phyllis volunteers. Michael insults her, then reverses and puts her on the team as an alternate.",To offer to cheerlead as a joke and receive the gay remark.,"I said I'd do it. He made the gay joke with a disclaimer. The disclaimer was specific: not homosexual, just bad at sports. I received it.",He made the remark and qualified it immediately. That's Michael's version of thoughtfulness. I'll take it.,3,0.2,0.5,0.4
Jim tells camera basketball was his thing and he's going to impress some people | confidence,S1E05-SC15,1,5,15,Basketball,Jim,Jim,Jim is speaking to the documentary camera about his basketball background and what he's hoping to prove today.,"Jim: Basketball? It was kind of my thing in high school. And I'm, yeah, I'm looking forward to playing. You know, I think I'm gonna impress a few people in here.",Jim tells camera basketball was his thing in high school and he expects to impress people today.,To establish his basketball credentials and his expectations for today.,Basketball was my thing in high school. I'm looking forward to this. I think I'm going to impress some people. I said that without qualifiers. I mean it.,I said it directly. No deflection. I'm actually excited about this.,5,0.8,0.6,0.8
Jim invites Pam to the outlet mall on Saturday if Roy has to work; she says lake; he says mall | intimacy,S1E05-SC16,1,5,16,Basketball,Jim,"Jim, Pam",Jim and Pam are at reception just before the game. Jim asks if she's coming down and invites her to the outlet mall on Saturday as a casual alternate plan.,"Jim: You coming down?
Pam: Yeah, I'm just forwarding the phones.
Jim: You gonna wish me luck?
Pam: Yeah, you're gonna need it.
Jim: Whoa.
Jim: Is that trash talk from Pam?
Pam: [laughing] I'm just saying, Roy is very competitive.
Jim: Oh.
Pam: And he wants to take the WaveRunners to the lake this Saturday so...
Jim: Well, I'm going to the outlet mall on Saturday, so if you wanna save big on brand names and Roy has to work, which he will, because I'm also competitive, you should feel free to come along.
Pam: Um, I think I'm gonna be up at the lake.
Jim: I think I'll see you at the mall. Yeah.",Jim and Pam have a short exchange before the game. He invites her to the outlet mall on Saturday as a casual alternative if Roy ends up having to work. She says she thinks she'll be at the lake. He says he thinks he'll see her at the mall.,"To invite Pam to the outlet mall on Saturday as a casual, deniable alternative to whatever Roy has planned.","I asked if she was coming down. She's forwarding phones. I asked for luck — she gave me trash talk, which was a surprise. Roy is competitive. He wants WaveRunners at the lake Saturday. So: I'm going to the outlet mall. If she wants to save big on brand names. If Roy has to work. Which he will. Because I'm competitive. She said she thinks she'll be up at the lake. I said I think I'll see her at the mall.",She said lake. I said mall. I left both things open. I'm not going to examine why I made that specific offer in that specific way right now.,8,0.3,0.6,0.5
Pre-game: Michael gives a we're-all-one-team speech and makes a fired joke | performance,S1E05-SC17,1,5,17,Basketball,Jim,"Jim, Michael, Roy, Ryan",The game is about to begin. Both teams are assembled in the warehouse. Michael delivers pre-game remarks and makes a fired joke.,"Michael: Hey, there he is! Secret weapon! All right, guys, come on, let's bring it in! Here we go! OK, listen, this is just going to be a friendly game, right? We are all on the same team here, the Dunder Mifflin team. Of course, if you beat us, you're fired. That's a joke. OK, let's do it.
Jim: Have a good game man.
Roy: Yeah, you too. Should be fun.
Michael: All right, everybody stretch out a little bit. Stretch it. Full stretch. Ryan, you wanna stretch?
Ryan: I stretched before I came.
Michael: OK.","Pre-game. Michael gives a speech about teamwork, makes a fired joke, and has everyone stretch. Ryan reveals he already stretched.",To start on a good-natured note with Roy.,"I said have a good game. He said you too, should be fun. That's correct. That's the right level for this.","Good start with Roy. Neutral, friendly. We'll see how it develops.",3,0.3,0.6,0.6
"The game begins — matchups assigned, Dwight goes shirtless, Roy threatens Pam over the jump ball | rivalry",S1E05-SC18,1,5,18,Basketball,Jim,"Dwight, Jim, Michael, Pam, Roy",The game is beginning. Michael assigns matchups. Dwight tries to go skins. Pam does the jump ball. The first possessions play out.,"Michael: OK, Ryan, you have Darryl. I have Roy.
Jim: Really? I thought I'd take Roy.
Michael: Actually, I think Roy is their best player not Lonny. So, Dwight, you uh, have the East German gal. Uh, who else we got... Um...OK, all right, you guys.
Dwight: [taking off his shirt] OK, we'll be skins!
Michael: Aw, come on Dwight.
Dwight: What? Shirts on or off?
Michael: On. Just put it on.
Dwight: You sure?
Michael: Yes. Uh, Pam? You kind of have your foot in both camps, why don't you do the uh, jump ball OK?
Roy: Don't listen to him Pam. Trust me, tip it my way or you're sleeping in the car.
Michael: Stanley! [Roy steals the ball, and goes for a lay up] Oh... Here we go! [Lonny shoots and makes it] Who's on him? Somebody get him!
Jim: [Jim does a behind the back move around Roy for the basket]
Pam: Woo!",Game begins. Michael assigns matchups. Dwight tries to go skins and is stopped. Michael has Pam do the jump ball. Roy scores immediately. Jim makes a behind-the-back move for a basket.,To be assigned Roy and start playing the game he's been looking forward to all day.,"I asked for Roy. Michael said no, he's taking Roy. He gave me someone else. Then the game started and Roy scored and I made the behind-the-back move. I'll get Roy eventually.",I didn't get Roy at the start. I made the behind-the-back. Pam said woo. I heard it.,6,0.8,0.8,0.7
"Michael calls for the ball, looks away, misses the pass, and asks if Lonny's celebration dance is the Robot | obliviousness",S1E05-SC24,1,5,24,Basketball,Jim,"Darryl, Jim, Lonny, Michael","The game is ongoing. Michael calls for the ball, looks away, misses the pass, and asks Lonny if his celebration dance is the Robot.","Michael: Jim! Jim! Jim, right here, Jim! Give me the ball! Ryan, cut! [Michael looks away and misses Jim's pass] Whoa!
Jim: My bad.
Darryl: [scores] Here we go. Here we go. Here we go.
Lonny: [dancing] Where you at? Where you at? You over there? I'm over there.
Michael: That is cool. Is that like the Robot?","Michael calls for the ball, looks away, misses Jim's pass, watches Darryl score, and asks whether Lonny's celebration is the Robot.",To pass to Michael and play the game.,I passed to Michael when he called for it. He looked away. I said my bad to smooth it over. Darryl scored.,I covered for Michael looking away. My bad. That's the right move.,3,-0.1,0.7,0.6
Michael scats during live play; Roy matches it and scores; Michael switches Jim onto Roy | rivalry,S1E05-SC28,1,5,28,Basketball,Jim,"Jim, Michael, Roy",Michael is singing a basketball jazz improvisation during play. Roy steals and scores. Michael calls timeout and switches Jim onto Roy.,"Michael: [singing] Du-du-du-du-dupee-do, de-do-do-do. Du-du-du-du-dupee-do, de-do-do-do. Harlem Globetrotter...
Roy: [steals the ball, scores, mimics singing] Du-du-du-du-dupee-do. Your ball.
Michael: All right, time, time out. Come on, sales, over here. Bring it in! Come on!
Michael: What's going on? What's going on? You're playing like a bunch of girls.
Jim: You know what? Let me take Roy.
Michael: All right, switch. Take it up a notch, come on.","Michael scats during live play. Roy steals and scores doing the same. Michael calls timeout, accuses the team of playing like girls, and switches Jim onto Roy.",To get assigned to Roy and play the game the way he knows he can.,Michael called timeout and said we're playing like girls. I asked to take Roy. He said switch. This is what I've been waiting for.,I have Roy now. This is the game.,6,0.4,0.8,0.8
Jim pushes Roy to the ground on another play; they exchange words | escalation,S1E05-SC31,1,5,31,Basketball,Jim,"Jim, Michael, Roy",Jim pushes Roy to the ground on another play. Roy and Jim exchange words.,"Michael: [Jim pushes Roy to the ground and makes another shot] Yes!
Roy: What the hell man?
Jim: Take it easy.
Roy: No, you take it easy.",Jim pushes Roy down on another play. Roy and Jim exchange words. Michael celebrates.,To score and de-escalate with Roy.,I pushed Roy down. He scored. He said what the hell. I said take it easy. He said you take it easy. That's where we are.,Roy is unhappy. I got the shot. The game is physical now.,5,0.2,0.9,0.7
Post-game: Roy calls Jim Larry Bird; Pam confirms it; Jim hears it | intimacy,S1E05-SC35,1,5,35,Basketball,Jim,"Jim, Pam, Roy","After the game, Jim is talking to Pam about something — possibly a fabricated basketball scout story. Roy arrives and calls Jim Larry Bird.","Jim: [to Pam] ...so I talked to the scout, it looks good.
Pam: Mmm-hmm.
Jim: I didn't sign anything.
Roy: Hey baby.
Pam: Hey.
Roy: [to Jim] Look at Larry Bird. Larry Legend.
Pam: Yeah, he's, uh, pretty good, huh? [to Roy] Let's get you into a tub.
Roy: Yeah? Let's get you into a tub.","After the game, Jim is whispering something to Pam — apparently a fictional scout story. Roy arrives, calls Jim Larry Bird, and Pam pivots to getting Roy into a tub.","To share something with Pam before Roy arrives — possibly a fabricated story, possibly real — and receive Roy's nickname.",I was telling Pam something about a scout. I didn't sign anything. Roy arrived and called me Larry Bird. Larry Legend. That's a real compliment from Roy. I'll take it.,Roy called me Larry Bird. That's not nothing. Pam said yeah he's pretty good huh. To Roy. That was for me.,7,0.8,0.6,0.7
Dwight offers Jim an insanely complicated scheduling board with conditions; Jim refuses and returns it | rivalry,S1E05-SC45,1,5,45,Basketball,Jim,"Dwight, Jim",Dwight is offering Jim a complex scheduling dry-erase board as part of a deal. Jim declines the condition and refuses the board.,"Dwight: Jim, you're the new schedule guy, huh?
Jim: I'm trying, yup.
Dwight: Yeah, I hear that. You know what? This little baby might come in handy.
Jim: Great, thanks.
Dwight: On one condition. You...
Jim: Forget it. It's just a dry erase board.
Dwight: Oh, no it's not. Okay, check it out.
Jim: Okay, that's insanely complicated and the first thing I'm going to do is erase it.
Dwight: No, you're not because I spent hours on it.
Jim: Well, then keep it.
Dwight: Okay, I will. Okay, fine. You'll be back.","Dwight tries to offer Jim an elaborate scheduling dry-erase board with conditions attached. Jim refuses the condition before hearing it, dismisses the board, and returns it. Dwight takes it back and predicts Jim will return for it.",To decline both the board and the condition without hearing the condition.,He offered the board with a condition. I said forget it. He showed me the complexity. I said I'd erase it. He said he spent hours. I said keep it. He said I'll be back. Maybe. But not on his terms.,I declined the condition before knowing it. The board is genuinely insane. I might need it. Not from him.,4,0.2,0.7,0.8
Michael makes a play; Jim and Dwight cheer | joy,S1E05-SC49,1,5,49,Basketball,Jim,"Dwight, Jim",Michael has made a play during the game. Jim and Dwight react.,"Warehouse Worker: [back to the basketball game] Let's go Lonny.
Jim: [Michael steals the ball] Yeah, Michael. Go Michael. [makes shot]
Dwight: Yes!",Michael makes a play during the game. Jim cheers. Dwight celebrates.,To cheer for Michael when he makes a play.,Michael stole the ball and scored. I cheered. Yeah Michael. Go Michael. He did it.,Michael made a play. I cheered genuinely.,3,0.7,0.8,0.6
Roy asks Jim about the purse girl; Jim glances at Pam and says moms; Roy says he'd be all over Katy | intimacy,S1E06-SC14,1,6,14,Hot Girl,Jim,"Jim, Kevin, Pam, Roy","Roy, Jim, Kevin, and Pam are in the break room. Roy has raised the subject of Katy.","Roy: Hey, Jimmy what do you think of that little purse girl, huh?
Jim: Cute, sure, yeah.
Roy: Why don't you get on that?
Jim: She's not really my type.
Roy: What are you gay?
Jim: Hmmm, I don't think so. Nope.
Kevin: What is your type?
Jim: [glances at Pam] Moms, primarily. Yep. Soccer moms. Single moms. NASCAR moms. Any type of moms, really.
Roy: That's disgusting.
Kevin: Stay away from my mom.
Jim: Too late, Kev.
Roy: [Katy walks through breakroom] Man, I would be all over that if I wasn't dating Pam.
Pam: We're not dating, we're engaged.
Roy: Engaged, yeah.",Roy asks Jim what he thinks of the purse girl. Jim deflects with the soccer moms answer while glancing at Pam. Roy announces he'd be all over Katy if he weren't with Pam. Pam corrects his word choice: engaged.,To deflect Roy's question about Katy without revealing anything and to land the moms answer without it sounding like what it is.,"Roy asked what I think of the purse girl. Cute. He said get on that. I said not my type. He said gay. I said nope. Kevin asked my type. I glanced at Pam and said moms. Soccer moms, single moms, NASCAR moms. Roy called it disgusting. Kevin protected his mom. Roy then said he'd be all over Katy if he weren't with Pam. She said engaged. Roy said yeah.",I glanced at Pam before saying moms. Kevin noticed my pause and asked the question. The moms answer was the fastest available deflection that also contained the true answer.,8,0.5,0.6,0.7
Jim tells camera Pam's problems are work and Roy — he starts a third and stops | avoidance,S1E06-SC15,1,6,15,Hot Girl,Jim,Jim,Jim is speaking to the documentary camera about his relationship with Pam.,"Jim: Pam and I are good buddies. I'm sort of Pam's go-to guy for her problems. You know with stuff like work, or uh, her fiance Roy. Or uh... Nope, those are pretty much her only two problems.",Jim tells camera Pam's problems are work and Roy. He trails off before adding a third.,To describe his relationship with Pam to the camera in accurate but incomplete terms.,"Good buddies. Go-to guy for her problems. Work, Roy. Or... nope. Those are her two problems. I started a third thing and stopped. I know what the third thing is.",I said those are pretty much her only two problems and ended it there. The camera caught the pause. I'm aware of the pause.,8,-0.2,0.2,-0.1
Jim coaches Dwight to pursue Katy and establishes that Michael is only his work boss | manipulation,S1E06-SC16,1,6,16,Hot Girl,Jim,"Dwight, Jim",Jim is coaching Dwight on how to pursue Katy. Dwight is hesitant about Michael's involvement.,"Jim: She'd be perfect for you.
Dwight: Hmmm... she's been talking to Michael a lot.
Jim: So, what? You're Assistant Regional Manager.
Dwight: Assistant to the Regional Manager.
Jim: Well, you know what Dwight? He's your work boss, okay? He is not your relationship boss.
Dwight: That's true.
Jim: Plus you have so much more to talk to this girl about, You're both um, salesmen. I mean that's something right there.
Dwight: True. Plus I can talk to her about the origins of my last name.
Dwight: It's all gold.","Jim coaches Dwight to pursue Katy, pointing out Michael is not his relationship boss. Dwight brightens and adds the origins of his last name as a conversation topic.","To set Dwight up to pursue Katy, primarily for entertainment value but also as a genuine nudge.",She'd be perfect for you. He was worried about Michael. I said Michael is his work boss not his relationship boss. He accepted that. I added that they're both salespeople. He added the origins of his last name. I said it's all gold. It is gold. All of it.,He's going to pursue her armed with surname etymology. This is going to be good.,5,0.6,0.5,0.8
Jim reframes the purse as a mini briefcase and sends Dwight in without the bathroom break | manipulation,S1E06-SC18,1,6,18,Hot Girl,Jim,"Dwight, Jim",Jim is coaching Dwight on the purse-buying gambit as a conversation pivot. Dwight is stalling.,"Jim: Alright. Here's the thing okay, you just keep talking to her. If you hit a stall you have a perfect fall back.
Dwight: What's that?
Jim: You buy a purse.
Dwight: I don't want a purse. Purses are for girls.
Jim: Dwight, that's not necessarily true. Do you read GQ?
Dwight: No.
Jim: Okay, I do. There like mini briefcases, alright? Lots of guys have them.
Dwight: Like those?
Jim: Yes. Listen, you are spending way too much time talking to me, when you could be talking to her.
Dwight: Okay, I'm just going to use the bathroom, and then I'm going...
Jim: No. You don't need the bathroom. You've got it. Go.",Jim coaches Dwight on the purse-buying gambit. Dwight resists calling it a purse. Jim reframes it as a mini briefcase. Dwight tries to stall with a bathroom excuse. Jim sends him without it.,To get Dwight to buy the purse as both a conversation prop and an end in itself.,The purse is the fallback. He said purses are for girls. I said mini briefcases. GQ confirmed. He accepted that. Then he tried to go to the bathroom. I said no bathroom. He's going now.,He's going in without the bathroom break. The mini briefcase reframe worked. I'm going to watch this.,5,0.7,0.5,0.8
Jim and Pam improvise complementary Dwight and Katy voices together; Pam calls Jim horrible | intimacy,S1E06-SC19,1,6,19,Hot Girl,Jim,"Jim, Pam",Jim has pulled Pam over to watch Dwight interact with Katy at the conference room table.,"Jim: Okay, shhhh stop... stop whatever you're doing because this is going to be good.
Pam: [smiles]
Jim: [mimicking Dwight in high-falsetto voice] Hi my name's Dwight Schrute and I would like to buy a purse from you. Good lord, look at these purses! This is something special. Oh my God is this Salvatore Di-chini-asta?
Pam: [mimicking Katy] Oh definitely, definitely step in and out of it like that.
Jim: Yes, well I want to stress test it. You know, in case anything happens.
Pam: Oh!
Jim: Oh! That was really. [Dwight hits purse against table] This is necessary to do to really give it a good workout. This is the ooooh... This is the prettiest one of all.
Pam: Oh...
Jim: I'm going to be the prettiest girl in the ball. Oh, how much?
Pam: Oh, God. It's sad. It's so sad.
Jim: [whispering] Here he comes, shhh...
Jim: [gives Dwight a thumbs-up - mouths the word] Good.
Pam: [smiles in agreement]
Jim: He did pick a good one.
Pam: You're horrible.",Jim pulls Pam into a live commentary of Dwight's interaction with Katy. They improvise complementary voices and build a full scene together. Pam calls Jim horrible at the end.,To share the Dwight-Katy performance with Pam and build a scene together.,"I pulled her over. She smiled before I said a word. I did Dwight's voice. She picked up Katy's voice immediately without being asked. We built the whole scene together — the stress test, the prettiest girl in the ball. Then Dwight hit the purse against the table and we had to stop. I gave him the thumbs up. He picked a good one actually.",She joined immediately. No setup needed. We built the whole thing together. 'You're horrible' is the best possible ending to that scene.,8,0.8,0.6,0.7
